,T [K],Time [s],Hardness [HV],C,Mn,Si,Cr,V,W,dataset,DROP,Mo,Ni,Co,Al,Cu,Ti,N,B,S,Izod [J]
0,977.5944444444444,3600.0,106.6481994,0.12,0.0,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,973.15,3600.0,112.7906977,0.057,0.0,0.0,0.0,0.0,0.0,Speich,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,973.15,3600.0,112.7906977,0.18,0.0,0.0,0.0,0.0,0.0,Speich,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,977.5944444444444,3600.0,114.4044321,0.2,0.0,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,922.0388888888888,3600.0,116.6204986,0.12,0.0,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,922.0388889,3600.0,122.1485015,0.08,0.5,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,973.15,3600.0,125.5813953,0.097,0.0,0.0,0.0,0.0,0.0,Speich,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,973.15,3600.0,126.744186,0.026,0.0,0.0,0.0,0.0,0.0,Speich,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,922.0388888888888,3600.0,129.9168975,0.2,0.0,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,973.15,3600.0,131.1138698,0.19,0.0,0.014,0.0,0.0,0.0,Tanino,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.003,
10,973.15,3600.0,136.0465116,0.39,0.0,0.0,0.0,0.0,0.0,Speich,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,923.0,5400.0,139.8328259,0.22,0.0,0.0,0.0,0.0,0.0,Ohmura,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,977.5944444444444,3600.0,140.30401815486883,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,977.5944444444444,3600.0,140.8486494670762,0.19,0.3,0.0,0.1,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,977.5944444444444,3600.0,141.2364709151212,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,977.5944444444444,3600.0,141.61638347744946,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,923.15,3600.0,143.2403776,0.19,0.0,0.014,0.0,0.0,0.0,Tanino,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.003,
17,977.5944444444444,3600.0,144.3213296,0.42,0.0,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,977.5944444444444,3600.0,145.1408345429134,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,866.4833333333333,3600.0,145.4293629,0.12,0.0,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,977.5944444444444,3600.0,145.95244692845372,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,922.0388888888888,3600.0,147.055831437418,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,922.0388888888888,3600.0,148.23731155777327,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,977.5944444444444,3600.0,148.81384315486883,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,873.15,3600.0,148.8372093,0.057,0.0,0.0,0.0,0.0,0.0,Speich,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,977.5944444444444,3600.0,149.53255361092,0.19,0.3,0.0,0.18,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,977.5944444,3600.0,149.8093647,0.2,0.35,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,898.15,3600.0,149.9882784,0.19,0.0,0.014,0.0,0.0,0.0,Tanino,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.003,
28,922.0388888888888,3600.0,150.74740530699998,0.31,0.65,0.14,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,136.53126525299638
29,922.0388888888888,3600.0,151.4082025,0.19,0.3,0.0,0.1,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,922.0388888888888,3600.0,151.4243651093826,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,977.5944444444444,3600.0,154.24890644600808,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,922.0388888888888,3600.0,154.3545540524832,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,922.0388888888888,3600.0,155.21207099173554,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34,873.15,3600.0,157.4101701,0.19,0.0,0.014,0.0,0.0,0.0,Tanino,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.003,
35,977.5944444444444,3600.0,157.6177285,0.5,0.0,0.0,0.0,0.0,0.0,Grange,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36,922.0388888888888,3600.0,157.8903218181818,0.19,0.3,0.0,0.18,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37,922.0388888888888,3600.0,158.032652752,0.31,0.65,0.14,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,142.36129941970822
38,922.0388888888888,3600.0,158.032652752,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,115.92277238461956
39,866.4833333333333,3600.0,158.7257618,0.2,0.0,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,923.0,5400.0,160.2578454,0.41,0.0,0.0,0.0,0.0,0.0,Ohmura,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
41,977.5944444444444,3600.0,160.2929448315307,0.19,0.5,0.0,0.0,0.02,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42,973.15,90000.0,160.47827313397067,0.56,0.0,0.0,0.0,0.0,0.0,Hollomon ,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,977.5944444444444,3600.0,161.90199480019896,0.2,0.5,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,977.5944444444444,3600.0,162.353888591124,0.19,0.53,0.09,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45,873.15,3600.0,162.7906977,0.097,0.0,0.0,0.0,0.0,0.0,Speich,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,922.0388888888888,3600.0,163.20280120908996,0.2,0.5,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,977.5944444,3600.0,163.5318939,0.2,0.64,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
48,873.15,3600.0,163.9534884,0.18,0.0,0.0,0.0,0.0,0.0,Speich,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,922.0388888888888,3600.0,164.3366247600167,0.19,0.53,0.09,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50,810.9277777777778,3600.0,165.33649148299995,0.31,0.65,0.14,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,129.48099137697272
51,866.4833333333333,3600.0,165.33649148299995,0.31,0.65,0.14,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,130.83681327620803
52,810.9277777777778,3600.0,165.3739612,0.12,0.0,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
53,922.0388888888888,3600.0,165.3739612,0.42,0.0,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54,977.5944444444444,3600.0,165.8794425655037,0.19,0.3,0.0,0.4,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
55,977.5944444,3600.0,165.8912736,0.2,0.9,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56,922.0388888888888,3600.0,166.9476917709563,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
57,977.5944444,3600.0,168.7315255,0.2,1.22,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
58,866.4833333333333,3600.0,169.51846072299998,0.31,0.65,0.14,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,136.53126525299638
59,922.0388888888888,3600.0,169.51846072299998,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,127.04051195834916
60,977.5944444444444,3600.0,170.19907569745928,0.19,0.5,0.0,0.0,0.052,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
61,977.5944444444444,3600.0,170.40470670534643,0.19,0.53,0.29,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
62,922.0388889,3600.0,171.4839566,0.2,0.35,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
63,977.5944444444444,3600.0,172.55100925651575,0.2,0.5,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
64,866.4833333333333,3600.0,172.6589215,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,109.82157383806064
65,866.4833333333333,3600.0,172.6589215,0.31,0.65,0.14,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,133.81962145452573
66,922.0388888888888,3600.0,172.6589215,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,119.58349151255491
67,810.9277777777778,3600.0,172.6589215,0.31,0.65,0.14,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,126.76934757850208
68,922.0388888888888,3600.0,172.6589215,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,126.76934757850208
69,922.0388888888888,3600.0,172.6589215,0.31,0.65,0.14,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,139.242909051467
70,922.0388888888888,3600.0,174.2382271,0.5,0.0,0.0,0.0,0.0,0.0,Grange,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
71,922.0388888888888,3600.0,174.33332254703691,0.2,0.5,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
72,977.5944444444444,3600.0,174.39363063705798,0.19,0.3,0.0,0.63,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
73,823.15,3600.0,174.9792208,0.19,0.0,0.014,0.0,0.0,0.0,Tanino,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.003,
74,922.0388888888888,3600.0,175.4189732739694,0.19,0.5,0.0,0.0,0.02,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
