,debye_temp,bulk_modulus,Density,debye_temp_pred,bulk_modulus_pred,,Mechanical stability
POSCAR-435-Mg1Zn5Al3,321.4034015751724,66.65071804490618,4.880461760818534,217.6895532020717,62.1750740615843,,Stable
POSCAR-599-Mg1Zn4Al4,264.5671000163184,67.74018786955527,4.389123742625991,246.98079181197681,60.87608981440664,,Stable
POSCAR-977-Mg1Zn3Al6,349.6539627195929,67.09194547241242,3.767663868635076,246.99514378134336,60.226447231571655,,Stable
POSCAR-579-Mg1Zn1Al4,356.0338243395876,67.12246623854821,3.1894772504849707,249.77547480813155,56.13401987960634,,Stable
POSCAR-704-Mg2Zn2Al2,330.45047943310794,57.24496101494941,3.639025154229994,280.5835445331322,55.346870571929344,,Stable
POSCAR-647-Mg2Zn2Al2,309.9855490941318,57.04953143656691,3.6353238263692806,282.99594634107416,54.439665139420185,,Stable
POSCAR-569-Mg3Zn2Al3,283.6091996939397,54.66955876298023,3.250743856791626,307.2318113579822,52.77851890283412,,Stable
POSCAR-288-Mg4Zn1Al3,346.3444981453404,51.097486411010166,2.645499140475182,316.75680743797784,50.19575943231723,,Stable
POSCAR-225-Mg4Zn1Al3,395.761095507884,52.86676231312387,2.6600571141960745,330.0791158428474,49.291479486242025,,Stable
POSCAR-573-Mg2Zn1Al1,354.02457948952417,51.06292502348733,3.112870481470224,331.779638699285,46.697351514593436,,Stable
